order_number,booked_at,click_id,state,price_amount,price_currency,profit_amount,profit_currency
40825615,2025-09-03T14:21:09.362Z,3165254871988015680,cancelled,66405,rub,1660.13,rub
40827525,2025-09-03T23:48:19.672Z,3165540106520897760,paid,14837,rub,370.93,rub
40824492,2025-09-03T10:05:07.374Z,3165125243801371872,cancelled,12005,rub,300.13,rub
40826039,2025-09-03T16:03:15.524Z,3165302706993273088,cancelled,15375,rub,384.38,rub
40824493,2025-09-03T10:05:31.215Z,3165125920382399104,paid,7034,rub,316.53,rub
40827359,2025-09-03T21:24:52.446Z,3165467099254694848,paid,58136,rub,1453.4,rub
40825193,2025-09-03T12:47:22.388Z,3165207873315907168,cancelled,30879,rub,771.98,rub
40824911,2025-09-03T11:43:11.282Z,3165175188835352736,cancelled,3499,rub,87.48,rub
40826300,2025-09-03T17:00:44.309Z,3165335182600466368,cancelled,5946,rub,148.65,rub
40824724,2025-09-03T10:57:28.890Z,3165142094837268640,paid,7884,rub,197.1,rub
40826316,2025-09-03T17:02:34.155Z,3165334854857183392,paid,65926,rub,1648.15,rub
40826233,2025-09-03T16:46:55.565Z,3165327959924723872,paid,17251,rub,431.28,rub
40826412,2025-09-03T17:27:19.979Z,3165348657255869440,paid,22596,rub,1016.82,rub
40827429,2025-09-03T21:59:03.853Z,3165484883617995264,cancelled,16497,rub,0,rub
40824389,2025-09-03T09:43:02.594Z,3165114906391753344,cancelled,14978,rub,374.45,rub
40826662,2025-09-03T18:11:17.284Z,3165370569724633312,cancelled,39480,rub,987,rub
40823772,2025-09-03T07:22:52.387Z,3165042930700782784,paid,20481,rub,512.02,rub
40825830,2025-09-03T15:09:39.663Z,3165276726786431232,paid,13697,rub,342.43,rub
40825044,2025-09-03T12:14:21.166Z,3165183356755853472,cancelled,6098,rub,152.45,rub
40827250,2025-09-03T20:36:54.613Z,3165441504101641376,cancelled,16388,rub,409.7,rub
40824859,2025-09-03T11:28:24.824Z,3165167710750115840,cancelled,47431,rub,1185.78,rub
40823032,2025-09-03T00:57:07.672Z,3164849870479584384,paid,13730,rub,549.2,rub
40824950,2025-09-03T11:56:20.782Z,3165176148088981312,paid,49424,rub,1235.6,rub
40826315,2025-09-03T17:01:59.244Z,3165334869198853472,paid,15667,rub,391.68,rub
40823100,2025-09-03T02:48:49.267Z,3164904717472358016,paid,25439,rub,635.98,rub
40823562,2025-09-03T06:27:54.889Z,3165016582838184896,paid,7973,rub,358.78,rub
40826944,2025-09-03T19:03:34.506Z,3165397182851370720,paid,19012,rub,475.3,rub
40826245,2025-09-03T16:49:19.949Z,3165324714356698112,paid,21632,rub,973.44,rub
40824790,2025-09-03T11:10:13.269Z,3165158502962905248,cancelled,57027,rub,1425.68,rub
40827488,2025-09-03T22:53:46.743Z,3165510326836948928,cancelled,8917,rub,222.93,rub
40823791,2025-09-03T07:29:51.014Z,3165048064612920256,cancelled,58723,rub,1468.08,rub
40824702,2025-09-03T10:53:43.016Z,3165150061445591744,cancelled,37597,rub,939.93,rub
40823765,2025-09-03T07:20:27.892Z,3165042546369911456,cancelled,25385,rub,634.63,rub
40823731,2025-09-03T07:13:26.210Z,3165038723211483808,paid,7795,rub,350.77,rub
40825458,2025-09-03T13:47:44.832Z,3165236586599113760,paid,20578,rub,514.45,rub
40825803,2025-09-03T15:02:34.087Z,3165272925824324160,paid,15606,rub,702.27,rub
40826594,2025-09-03T18:01:11.715Z,3165364107440839392,paid,11669,rub,291.73,rub
