Номера заказа,,Дата сделки,Вид операции,Вид возврата / обмена,Лид,АК,Тип,Классификация направлений,Price,CPA,"CPA, руб."
40864903,12-09-2025,SALE,,d1,VJ,Регулярка,RT,"25,514.00",0.045,"1,148.13",
40864903,12-09-2025,SALE,,d1,VJ,Регулярка,RT,"25,514.00",0.045,"1,148.13",
40831432,04-09-2025,SALE,,d1,AF,Регулярка,RT,"40,143.00",0.045,"1,806.44",
40831432,04-09-2025,SALE,,d1,AF,Регулярка,RT,"40,143.00",0.045,"1,806.44",
40837137,06-09-2025,SALE,,d1,HO,Регулярка,OW,"26,209.00",0.045,"1,179.41",
40874678,14-09-2025,SALE,,d1,MU,Регулярка,OW,"133,349.00",0.045,"6,000.71",
40851144,09-09-2025,SALE,,d1,J9,Чартер,OW,"26,182.00",0.045,"1,178.19",
40851144,09-09-2025,SALE,,d1,J9,Чартер,OW,"26,182.00",0.045,"1,178.19",
40829415,04-09-2025,SALE,,d1,СУ,Чартер,OW,"35,567.00",0.025,889.18,
40868433,13-09-2025,SALE,,d1,4O,Регулярка,OW,"24,863.00",0.045,"1,118.84",
40818013,01-09-2025,SALE,,d1,F3,Регулярка,OW,"26,112.00",0.045,"1,175.04",
40836411,06-09-2025,SALE,,d1,ТК,Регулярка,RT,"24,712.00",0.045,"1,112.04",
40873481,14-09-2025,SALE,,d1,ХИ,Чартер,OW,"25,220.00",0.04,"1,008.80",
40850208,09-09-2025,SALE,,d1,ТК,Регулярка,RT,"80,951.00",0.045,"3,642.80",
40850208,09-09-2025,SALE,,d1,ТК,Регулярка,RT,"80,951.00",0.045,"3,642.80",
40830956,04-09-2025,SALE,,d1,СУ,Чартер,OW,"18,855.00",0.025,471.38,
40830956,04-09-2025,SALE,,d1,СУ,Чартер,OW,"18,855.00",0.025,471.38,
40830956,04-09-2025,SALE,,d1,СУ,Чартер,OW,"18,855.00",0.025,471.38,
40862970,11-09-2025,SALE,,d1,C6,Чартер,OW,"25,020.00",0.045,"1,125.90",
40862970,11-09-2025,SALE,,d1,C6,Чартер,OW,"25,020.00",0.045,"1,125.90",
40840003,07-09-2025,SALE,,d1,C6,Чартер,OW,"18,020.00",0.045,810.90,
40818247,01-09-2025,SALE,,d1,ТК,Регулярка,RT,"24,230.00",0.045,"1,090.35",
40832913,05-09-2025,SALE,,d1,ТК,Регулярка,RT,"25,243.00",0.045,"1,135.94",
40831310,04-09-2025,SALE,,d1,CZ,Регулярка,RT,"52,722.00",0.045,"2,372.49",
40831310,04-09-2025,SALE,,d1,CZ,Регулярка,RT,"52,722.00",0.045,"2,372.49",
40880256,16-09-2025,SALE,,d1,JU,Регулярка,OW,"33,647.00",0.045,"1,514.12",
