Номера заказа,,Дата сделки,Вид операции,Вид возврата / обмена,Лид,АК,Тип,Классификация направлений,Price,CPA,"CPA, руб."
40842002,07-09-2025,SALE,,d1,СУ,Чартер,OW,"12,104.00",0.025,302.60,
40873325,14-09-2025,SALE,,d1,СУ,Чартер,OW,"12,110.00",0.025,302.75,
40879458,15-09-2025,SALE,,d1,СУ,Чартер,OW,"12,110.00",0.025,302.75,
40879941,15-09-2025,SALE,,d1,СУ,Чартер,OW,"12,110.00",0.025,302.75,
40844501,08-09-2025,SALE,,d1,ТК,Чартер,OW,"13,738.00",0.045,618.21,
40844501,08-09-2025,SALE,,d1,ТК,Чартер,OW,"13,738.00",0.045,618.21,
40844501,08-09-2025,SALE,,d1,ТК,Чартер,OW,"13,738.00",0.045,618.21,
40842491,08-09-2025,SALE,,d1,ТК,Регулярка,OW,"16,179.00",0.045,728.06,
40835757,06-09-2025,SALE,,d1,ТК,Регулярка,RT,"46,105.00",0.045,"2,074.73",
40847642,09-09-2025,SALE,,d1,UJ,Чартер,OW,"17,278.15",0.045,777.52,
40816827,01-09-2025,SALE,,d1,ТК,Чартер,OW,"13,652.00",0.045,614.34,
40819307,02-09-2025,SALE,,d1,ТК,Чартер,OW,"13,652.00",0.045,614.34,
40827156,03-09-2025,SALE,,d1,СУ,Чартер,OW,"12,002.00",0.025,300.05,
40846493,08-09-2025,SALE,,d1,СУ,Чартер,OW,"12,002.00",0.025,300.05,
40855741,10-09-2025,SALE,,d1,ТК,Регулярка,OW,"48,395.00",0.045,"2,177.78",
40822662,02-09-2025,SALE,,d1,CZ,Регулярка,RT,"44,299.00",0.045,"1,993.46",
40820627,02-09-2025,SALE,,d1,J9,Чартер,OW,"16,570.00",0.045,745.65,
40820627,02-09-2025,SALE,,d1,J9,Чартер,OW,"16,570.00",0.045,745.65,
40861969,11-09-2025,SALE,,d1,4O,Регулярка,OW,"16,008.00",0.045,720.36,
40848329,09-09-2025,SALE,,d1,ТК,Чартер,OW,"13,738.00",0.045,618.21,
40850345,09-09-2025,SALE,,d1,ТК,Чартер,OW,"13,738.00",0.045,618.21,
40824379,03-09-2025,SALE,,d1,ТК,Регулярка,OW,"15,668.00",0.045,705.06,
40847429,08-09-2025,SALE,,d1,СУ,Чартер,OW,"12,002.00",0.025,300.05,
40853782,10-09-2025,SALE,,d1,СУ,Чартер,OW,"12,002.00",0.025,300.05,
40876626,15-09-2025,SALE,,d1,4O,Регулярка,OW,"15,638.00",0.045,703.71,
40876626,15-09-2025,SALE,,d1,4O,Регулярка,OW,"15,638.00",0.045,703.71,
40852762,09-09-2025,SALE,,d1,W4,Регулярка,OW,"15,877.00",0.045,714.47,
40874005,14-09-2025,SALE,,d1,AM,Регулярка,RT,"43,964.00",0.045,"1,978.38",
40874005,14-09-2025,SALE,,d1,AM,Регулярка,RT,"43,964.00",0.045,"1,978.38",
40832043,05-09-2025,SALE,,d1,СУ,Чартер,OW,"23,701.00",0.025,592.53,
40872448,14-09-2025,SALE,,d1,QR,Регулярка,OW,"30,921.00",0.045,"1,391.45",
40822401,02-09-2025,SALE,,d1,СУ,Чартер,OW,"12,002.00",0.025,300.05,
40822401,02-09-2025,SALE,,d1,СУ,Чартер,OW,"12,002.00",0.025,300.05,
40840477,07-09-2025,SALE,,d1,СУ,Чартер,OW,"12,002.00",0.025,300.05,
40840682,07-09-2025,SALE,,d1,СУ,Чартер,OW,"12,002.00",0.025,300.05,
40841116,07-09-2025,SALE,,d1,СУ,Чартер,OW,"12,002.00",0.025,300.05,
40855972,10-09-2025,SALE,,d1,CA,Регулярка,OW,"88,527.00",0.045,"3,983.72",
40874908,14-09-2025,SALE,,d1,3F,Регулярка,RT,"24,643.00",0.025,616.08,
40830908,04-09-2025,SALE,,d1,UU,Регулярка,OW,"21,602.00",0.045,972.09,
40818453,02-09-2025,SALE,,d1,СУ,Чартер,OW,"11,665.33",0.025,291.63,
40868126,12-09-2025,SALE,,d1,IJ,Регулярка,RT,"15,405.00",0.045,693.23,
40836017,06-09-2025,SALE,,d1,2S,Чартер,OW,"15,159.00",0.045,682.16,
40836152,06-09-2025,SALE,,d1,2S,Чартер,OW,"15,159.00",0.045,682.16,
40836152,06-09-2025,SALE,,d1,2S,Чартер,OW,"15,159.00",0.045,682.16,
40850394,09-09-2025,SALE,,d1,ХИ,Чартер,OW,"17,335.00",0.04,693.40,
40832766,05-09-2025,SALE,,d1,КЛ,Чартер,OW,"17,118.00",0.04,684.72,
40845687,08-09-2025,SALE,,d1,КЛ,Чартер,OW,"17,118.00",0.04,684.72,
40819496,02-09-2025,SALE,,d1,ТК,Чартер,OW,"13,181.00",0.045,593.15,
40873595,14-09-2025,SALE,,d1,DV,Регулярка,RT,"29,422.00",0.025,735.55,
40873595,14-09-2025,SALE,,d1,DV,Регулярка,RT,"29,422.00",0.025,735.55,
40830011,04-09-2025,SALE,,d1,BA,Регулярка,OW,"22,309.00",0.045,"1,003.91",
40830011,04-09-2025,SALE,,d1,BA,Регулярка,OW,"22,309.00",0.045,"1,003.91",
40865313,12-09-2025,SALE,,d1,ET,Регулярка,RT,"77,905.00",0.045,"3,505.73",
40829609,04-09-2025,SALE,,d1,2S,Чартер,OW,"14,993.00",0.045,674.69,
40831042,04-09-2025,SALE,,d1,2S,Чартер,OW,"14,993.00",0.045,674.69,
40817272,01-09-2025,SALE,,d1,2S,Чартер,OW,"14,970.00",0.045,673.65,
40817272,01-09-2025,SALE,,d1,2S,Чартер,OW,"14,970.00",0.045,673.65,
40817272,01-09-2025,SALE,,d1,2S,Чартер,OW,"14,970.00",0.045,673.65,
40817272,01-09-2025,SALE,,d1,2S,Чартер,OW,"14,970.00",0.045,673.65,
40817719,01-09-2025,SALE,,d1,2S,Чартер,OW,"14,970.00",0.045,673.65,
40822385,02-09-2025,SALE,,d1,СУ,Чартер,OW,"11,507.00",0.025,287.68,
40841474,07-09-2025,SALE,,d1,MU,Регулярка,OW,"44,819.00",0.045,"2,016.86",
40835604,06-09-2025,SALE,,d1,UJ,Чартер,OW,"16,245.86",0.045,731.06,
40818459,02-09-2025,SALE,,d1,СУ,Чартер,OW,"11,502.00",0.025,287.55,
40842631,07-09-2025,SALE,,d1,SL,Регулярка,RT,"15,194.00",0.045,683.73,
40841304,08-09-2025,SALE,,d1,ТК,Регулярка,OW,"15,145.00",0.045,681.53,
40817282,01-09-2025,SALE,,d1,ТК,Регулярка,OW,"15,357.00",0.045,691.07,
40851958,09-09-2025,SALE,,d1,ТК,Регулярка,OW,"15,102.00",0.045,679.59,
40853193,09-09-2025,SALE,,d1,FR,Регулярка,OW,"15,368.00",0.045,691.56,
40855662,10-09-2025,SALE,,d1,9C,Регулярка,OW,"16,010.00",0.045,720.45,
40855662,10-09-2025,SALE,,d1,9C,Регулярка,OW,"16,010.00",0.045,720.45,
40855662,10-09-2025,SALE,,d1,9C,Регулярка,OW,"16,010.00",0.045,720.45,
40872676,14-09-2025,SALE,,d1,ID,Регулярка,OW,"15,351.00",0.045,690.80,
40839491,07-09-2025,SALE,,d1,СУ,Чартер,OW,"11,641.00",0.025,291.03,
40840026,07-09-2025,SALE,,d1,СУ,Чартер,OW,"11,502.00",0.025,287.55,
40830722,04-09-2025,SALE,,d1,EK,Регулярка,RT,"67,219.00",0.045,"3,024.86",
40849856,09-09-2025,SALE,,d1,DV,Чартер,OW,"12,020.00",0.04,480.80,
40821805,02-09-2025,SALE,,d1,ТК,Регулярка,RT,"14,945.00",0.045,672.53,
40825996,03-09-2025,SALE,,d1,AF,Регулярка,OW,"21,143.00",0.045,951.44,
40844361,08-09-2025,SALE,,d1,4O,Регулярка,OW,"15,225.00",0.045,685.13,
40846276,08-09-2025,SALE,,d1,MU,Регулярка,OW,"56,542.00",0.045,"2,544.39",
40846276,08-09-2025,SALE,,d1,MU,Регулярка,OW,"56,542.00",0.045,"2,544.39",
40846276,08-09-2025,SALE,,d1,MU,Регулярка,OW,"56,542.00",0.045,"2,544.39",
40817927,01-09-2025,SALE,,d1,JL,Регулярка,OW,"14,993.00",0.045,674.69,
40857557,10-09-2025,SALE,,d1,QR,Регулярка,OW,"29,834.00",0.045,"1,342.53",
40857557,10-09-2025,SALE,,d1,QR,Регулярка,OW,"29,834.00",0.045,"1,342.53",
40857557,10-09-2025,SALE,,d1,QR,Регулярка,OW,"29,834.00",0.045,"1,342.53",
40836636,06-09-2025,SALE,,d1,3F,Регулярка,OW,"15,145.00",0.025,378.63,
40847456,08-09-2025,SALE,,d1,ТК,Регулярка,OW,"15,099.00",0.045,679.46,
40861692,11-09-2025,SALE,,d1,JJ,Регулярка,OW,"15,127.00",0.045,680.72,
40861188,11-09-2025,SALE,,d1,"2P,PR",Регулярка,OW,"14,864.00",0.045,668.88,
40872340,14-09-2025,SALE,,d1,4O,Регулярка,OW,"14,855.00",0.045,668.48,
40872340,14-09-2025,SALE,,d1,4O,Регулярка,OW,"14,855.00",0.045,668.48,
40875232,14-09-2025,SALE,,d1,4O,Регулярка,OW,"14,851.00",0.045,668.30,
40827471,04-09-2025,SALE,,d1,4O,Регулярка,OW,"15,084.00",0.045,678.78,
40880037,15-09-2025,SALE,,d1,TP,Регулярка,RT,"30,210.00",0.045,"1,359.45",
40829149,04-09-2025,SALE,,d1,СУ,Чартер,OW,"21,482.00",0.025,537.05,
40829149,04-09-2025,SALE,,d1,СУ,Чартер,OW,"21,482.00",0.025,537.05,
40829149,04-09-2025,SALE,,d1,СУ,Чартер,OW,"21,482.00",0.025,537.05,
40819630,02-09-2025,SALE,,d1,3F,Регулярка,RT,"23,555.00",0.025,588.88,
40862362,11-09-2025,SALE,,d1,ТК,Регулярка,OW,"15,388.00",0.045,692.46,
40862362,11-09-2025,SALE,,d1,ТК,Регулярка,OW,"15,388.00",0.045,692.46,
40865357,12-09-2025,SALE,,d1,3F,Регулярка,RT,"23,610.00",0.025,590.25,
40824127,03-09-2025,SALE,,d1,3F,Регулярка,OW,"15,014.00",0.025,375.35,
40824127,03-09-2025,SALE,,d1,3F,Регулярка,OW,"15,014.00",0.025,375.35,
40860404,11-09-2025,SALE,,d1,PC,Чартер,OW,"16,613.00",0.045,747.59,
40870520,13-09-2025,SALE,,d1,СУ,Чартер,OW,"22,361.00",0.025,559.03,
40857236,10-09-2025,SALE,,d1,QR,Регулярка,OW,"29,615.00",0.045,"1,332.68",
40857236,10-09-2025,SALE,,d1,QR,Регулярка,OW,"29,615.00",0.045,"1,332.68",
40857236,10-09-2025,SALE,,d1,QR,Регулярка,OW,"29,615.00",0.045,"1,332.68",
40857236,10-09-2025,SALE,,d1,QR,Регулярка,OW,"29,615.00",0.045,"1,332.68",
40857236,10-09-2025,SALE,,d1,QR,Регулярка,OW,"29,615.00",0.045,"1,332.68",
40816642,01-09-2025,SALE,,d1,СУ,Чартер,OW,"21,289.00",0.025,532.23,
40822022,02-09-2025,SALE,,d1,ТК,Регулярка,OW,"14,876.00",0.045,669.42,
40822022,02-09-2025,SALE,,d1,ТК,Регулярка,OW,"14,876.00",0.045,669.42,
40823494,03-09-2025,SALE,,d1,КЛ,Чартер,OW,"15,691.50",0.04,627.66,
40835374,05-09-2025,SALE,,d1,ИН,Чартер,OW,"15,146.75",0.04,605.87,
40835374,05-09-2025,SALE,,d1,ИН,Чартер,OW,"15,146.75",0.04,605.87,
40835374,05-09-2025,SALE,,d1,ИН,Чартер,OW,"15,146.75",0.04,605.87,
40827135,03-09-2025,SALE,,d1,УР,Чартер,OW,"14,993.00",0.04,599.72,
40827135,03-09-2025,SALE,,d1,УР,Чартер,OW,"14,993.00",0.04,599.72,
40827135,03-09-2025,SALE,,d1,УР,Чартер,OW,"14,993.00",0.04,599.72,
40859877,11-09-2025,SALE,,d1,ET,Регулярка,RT,"74,550.00",0.045,"3,354.75",
40859877,11-09-2025,SALE,,d1,ET,Регулярка,RT,"74,550.00",0.045,"3,354.75",
40859877,11-09-2025,SALE,,d1,ET,Регулярка,RT,"74,550.00",0.045,"3,354.75",
40859877,11-09-2025,SALE,,d1,ET,Регулярка,RT,"74,550.00",0.045,"3,354.75",
40859877,11-09-2025,SALE,,d1,ET,Регулярка,RT,"74,550.00",0.045,"3,354.75",
40859877,11-09-2025,SALE,,d1,ET,Регулярка,RT,"74,550.00",0.045,"3,354.75",
40867875,12-09-2025,SALE,,d1,ТК,Чартер,OW,"12,779.00",0.045,575.06,
40867875,12-09-2025,SALE,,d1,ТК,Чартер,OW,"12,779.00",0.045,575.06,
40867875,12-09-2025,SALE,,d1,ТК,Чартер,OW,"12,779.00",0.045,575.06,
40860535,11-09-2025,SALE,,d1,PC,Регулярка,OW,"16,915.00",0.045,761.18,
40866778,12-09-2025,SALE,,d1,СУ,Чартер,OW,"21,145.00",0.025,528.63,
40822444,02-09-2025,SALE,,d1,4O,Регулярка,OW,"14,814.00",0.045,666.63,
40866991,12-09-2025,SALE,,d1,ET,Регулярка,RT,"73,405.00",0.045,"3,303.23",
40837563,06-09-2025,SALE,,d1,DV,Чартер,OW,"11,520.00",0.04,460.80,
40842361,07-09-2025,SALE,,d1,DV,Чартер,OW,"11,520.00",0.04,460.80,
40873505,14-09-2025,SALE,,d1,DV,Чартер,OW,"11,520.00",0.04,460.80,
40827734,04-09-2025,SALE,,d1,VJ,Регулярка,RT,"14,627.00",0.045,658.22,
40827734,04-09-2025,SALE,,d1,VJ,Регулярка,RT,"14,627.00",0.045,658.22,
40834206,05-09-2025,SALE,,d1,СУ,Чартер,OW,"21,546.00",0.025,538.65,
40834206,05-09-2025,SALE,,d1,СУ,Чартер,OW,"21,546.00",0.025,538.65,
40838724,06-09-2025,SALE,,d1,СУ,Чартер,OW,"11,002.00",0.025,275.05,
40838724,06-09-2025,SALE,,d1,СУ,Чартер,OW,"11,002.00",0.025,275.05,
40847067,08-09-2025,SALE,,d1,СУ,Чартер,OW,"11,002.00",0.025,275.05,
40872885,14-09-2025,SALE,,d1,СУ,Чартер,OW,"11,002.00",0.025,275.05,
40874012,14-09-2025,SALE,,d1,СУ,Чартер,OW,"11,002.00",0.025,275.05,
40847487,08-09-2025,SALE,,d1,J2,Регулярка,RT,"83,158.00",0.025,"2,078.95",
40879991,15-09-2025,SALE,,d1,C6,Чартер,OW,"15,470.00",0.045,696.15,
40862322,11-09-2025,SALE,,d1,ИН,Чартер,OW,"13,586.00",0.04,543.44,
40838552,06-09-2025,SALE,,d1,ТК,Регулярка,OW,"14,634.00",0.045,658.53,
40853079,09-09-2025,SALE,,d1,СУ,Чартер,OW,"10,911.00",0.025,272.78,
40817548,01-09-2025,SALE,,d1,ТК,Регулярка,OW,"14,556.00",0.045,655.02,
40857900,10-09-2025,SALE,,d1,4Z,Регулярка,OW,"29,460.00",0.045,"1,325.70",
40825924,03-09-2025,SALE,,d1,ХИ,Чартер,OW,"14,020.00",0.04,560.80,
40834195,05-09-2025,SALE,,d1,C6,Чартер,OW,"14,020.00",0.045,630.90,
40842200,07-09-2025,SALE,,d1,FR,Регулярка,OW,"12,989.00",0.045,584.51,
40841126,07-09-2025,SALE,,d1,QR,Регулярка,OW,"36,641.00",0.045,"1,648.85",
40825577,03-09-2025,SALE,,d1,VZ,Регулярка,RT,"14,161.00",0.045,637.25,
40841319,08-09-2025,SALE,,d1,ТК,Регулярка,OW,"14,250.00",0.045,641.25,
40855097,10-09-2025,SALE,,d1,ТК,Регулярка,OW,"14,457.00",0.045,650.57,
40837586,06-09-2025,SALE,,d1,FR,Регулярка,OW,"14,487.00",0.045,651.92,
40853536,09-09-2025,SALE,,d1,3F,Регулярка,RT,"22,729.00",0.025,568.23,
40853536,09-09-2025,SALE,,d1,3F,Регулярка,RT,"22,729.00",0.025,568.23,
40860935,11-09-2025,SALE,,d1,2S,Чартер,OW,"13,173.00",0.045,592.79,
40860935,11-09-2025,SALE,,d1,2S,Чартер,OW,"13,173.00",0.045,592.79,
40873422,14-09-2025,SALE,,d1,D8,Регулярка,OW,"20,623.00",0.045,928.04,
40844095,08-09-2025,SALE,,d1,СУ,Чартер,OW,"21,614.00",0.025,540.35,
40846210,08-09-2025,SALE,,d1,СУ,Чартер,OW,"21,614.00",0.025,540.35,
40840433,07-09-2025,SALE,,d1,QR,Регулярка,OW,"20,392.00",0.045,917.64,
40836205,06-09-2025,SALE,,d1,СУ,Чартер,OW,"11,002.00",0.025,275.05,
40831434,05-09-2025,SALE,,d1,ТК,Регулярка,OW,"14,413.00",0.045,648.59,
40850729,09-09-2025,SALE,,d1,8M,Регулярка,OW,"35,218.00",0.045,"1,584.81",
40872125,13-09-2025,SALE,,d1,СУ,Чартер,OW,"10,734.00",0.025,268.35,
40872125,13-09-2025,SALE,,d1,СУ,Чартер,OW,"10,734.00",0.025,268.35,
40872125,13-09-2025,SALE,,d1,СУ,Чартер,OW,"10,734.00",0.025,268.35,
40872125,13-09-2025,SALE,,d1,СУ,Чартер,OW,"10,734.00",0.025,268.35,
40872125,13-09-2025,SALE,,d1,СУ,Чартер,OW,"10,734.00",0.025,268.35,
40872125,13-09-2025,SALE,,d1,СУ,Чартер,OW,"10,734.00",0.025,268.35,
40872125,13-09-2025,SALE,,d1,СУ,Чартер,OW,"10,734.00",0.025,268.35,
40857824,10-09-2025,SALE,,d1,"DS,U2",Регулярка,RT,"14,147.00",0.045,636.62,
40838912,06-09-2025,SALE,,d1,9C,Регулярка,OW,"14,356.00",0.045,646.02,
40863694,11-09-2025,SALE,,d1,2S,Чартер,OW,"13,074.00",0.045,588.33,
40863771,11-09-2025,SALE,,d1,PC,Регулярка,OW,"17,098.00",0.045,769.41,
40821582,02-09-2025,SALE,,d1,3F,Регулярка,RT,"22,582.00",0.025,564.55,
40856685,10-09-2025,SALE,,d1,UJ,Чартер,OW,"15,056.46",0.045,677.54,
40856685,10-09-2025,SALE,,d1,UJ,Чартер,OW,"15,056.46",0.045,677.54,
40816034,01-09-2025,SALE,,d1,КЛ,Чартер,OW,"15,691.50",0.04,627.66,
40880003,15-09-2025,SALE,,d1,PC,Регулярка,OW,"10,712.00",0.045,482.04,
40833806,05-09-2025,SALE,,d1,XQ,Регулярка,RT,"37,534.00",0.045,"1,689.03",
40853726,10-09-2025,SALE,,d1,HX,Регулярка,OW,"14,241.00",0.045,640.85,
40823706,03-09-2025,SALE,,d1,HU,Регулярка,RT,"71,580.00",0.045,"3,221.10",
40823706,03-09-2025,SALE,,d1,HU,Регулярка,RT,"71,580.00",0.045,"3,221.10",
40855655,10-09-2025,SALE,,d1,IJ,Регулярка,RT,"13,935.00",0.045,627.08,
40826801,04-09-2025,SALE,,d1,VJ,Регулярка,RT,"13,901.00",0.045,625.55,
40834048,05-09-2025,SALE,,d1,CA,Регулярка,OW,"31,096.00",0.045,"1,399.32",
40834048,05-09-2025,SALE,,d1,CA,Регулярка,OW,"31,096.00",0.045,"1,399.32",
40834048,05-09-2025,SALE,,d1,CA,Регулярка,OW,"31,096.00",0.045,"1,399.32",
40856007,10-09-2025,SALE,,d1,ТК,Чартер,OW,"12,125.00",0.045,545.63,
40874293,14-09-2025,SALE,,d1,СУ,Чартер,OW,"10,530.00",0.025,263.25,
40874293,14-09-2025,SALE,,d1,СУ,Чартер,OW,"10,530.00",0.025,263.25,
40875036,14-09-2025,SALE,,d1,СУ,Чартер,OW,"10,530.00",0.025,263.25,
40875036,14-09-2025,SALE,,d1,СУ,Чартер,OW,"10,530.00",0.025,263.25,
40839834,07-09-2025,SALE,,d1,CA,Регулярка,OW,"31,107.00",0.045,"1,399.82",
40863451,11-09-2025,SALE,,d1,ТК,Регулярка,RT,"42,161.00",0.045,"1,897.25",
40863890,12-09-2025,SALE,,d1,СУ,Чартер,OW,"10,489.50",0.025,262.24,
40834094,05-09-2025,SALE,,d1,СУ,Чартер,OW,"20,081.00",0.025,502.03,
40828785,04-09-2025,SALE,,d1,ТК,Регулярка,OW,"36,629.00",0.045,"1,648.31",
40821267,02-09-2025,SALE,,d1,СУ,Чартер,OW,"20,512.00",0.025,512.80,
40821267,02-09-2025,SALE,,d1,СУ,Чартер,OW,"20,512.00",0.025,512.80,
40821267,02-09-2025,SALE,,d1,СУ,Чартер,OW,"20,512.00",0.025,512.80,
40825356,03-09-2025,SALE,,d1,СУ,Чартер,OW,"20,505.00",0.025,512.63,
40858962,11-09-2025,SALE,,d1,С7,Регулярка,OW,"22,378.00",0.025,559.45,
40860454,11-09-2025,SALE,,d1,ТК,Регулярка,OW,"13,950.00",0.045,627.75,
40866318,12-09-2025,SALE,,d1,4O,Регулярка,OW,"13,712.00",0.045,617.04,
40879546,15-09-2025,SALE,,d1,СУ,Чартер,OW,"10,530.00",0.025,263.25,
40826234,03-09-2025,SALE,,d1,FR,Регулярка,OW,"13,905.00",0.045,625.73,
40838658,06-09-2025,SALE,,d1,FR,Регулярка,OW,"13,880.00",0.045,624.60,
40857087,10-09-2025,SALE,,d1,СУ,Чартер,OW,"20,266.00",0.025,506.65,
40857087,10-09-2025,SALE,,d1,СУ,Чартер,OW,"20,266.00",0.025,506.65,
40857087,10-09-2025,SALE,,d1,СУ,Чартер,OW,"20,266.00",0.025,506.65,
40874623,14-09-2025,SALE,,d1,3F,Регулярка,RT,"21,688.00",0.025,542.20,
40828653,04-09-2025,SALE,,d1,WN,Регулярка,OW,"13,588.00",0.045,611.46,
40828653,04-09-2025,SALE,,d1,WN,Регулярка,OW,"13,588.00",0.045,611.46,
40864110,12-09-2025,SALE,,d1,СУ,Чартер,OW,"10,573.00",0.025,264.33,
40867661,12-09-2025,SALE,,d1,СУ,Чартер,OW,"10,573.00",0.025,264.33,
40850363,09-09-2025,SALE,,d1,FR,Регулярка,RT,"13,591.00",0.045,611.60,
40859244,11-09-2025,SALE,,d1,GK,Регулярка,RT,"13,575.00",0.045,610.88,
40831119,04-09-2025,SALE,,d1,PC,Регулярка,OW,"12,610.00",0.045,567.45,
40871762,13-09-2025,SALE,,d1,СУ,Чартер,OW,"10,530.00",0.025,263.25,
40874622,14-09-2025,SALE,,d1,СУ,Чартер,OW,"10,530.00",0.025,263.25,
40874622,14-09-2025,SALE,,d1,СУ,Чартер,OW,"10,530.00",0.025,263.25,
40848338,09-09-2025,SALE,,d1,СУ,Чартер,OW,"19,639.00",0.025,490.98,
40868885,13-09-2025,SALE,,d1,ТК,Чартер,OW,"11,796.00",0.045,530.82,
40870422,13-09-2025,SALE,,d1,ТК,Чартер,OW,"11,796.00",0.045,530.82,
40878080,15-09-2025,SALE,,d1,ТК,Чартер,OW,"11,796.00",0.045,530.82,
40878080,15-09-2025,SALE,,d1,ТК,Чартер,OW,"11,796.00",0.045,530.82,
40843823,08-09-2025,SALE,,d1,СУ,Чартер,OW,"20,002.00",0.025,500.05,
40847642,09-09-2025,SALE,,d1,UJ,Чартер,OW,"14,647.45",0.045,659.14,
40831109,04-09-2025,SALE,,d1,FR,Регулярка,OW,"13,646.00",0.045,614.07,
40821920,02-09-2025,SALE,,d1,ТК,Чартер,OW,"15,056.00",0.045,677.52,
40821920,02-09-2025,SALE,,d1,ТК,Чартер,OW,"15,056.00",0.045,677.52,
40836073,06-09-2025,SALE,,d1,UO,Регулярка,RT,"13,323.00",0.045,599.54,
40838873,06-09-2025,SALE,,d1,СУ,Чартер,OW,"10,122.00",0.025,253.05,
40839878,07-09-2025,SALE,,d1,СУ,Чартер,OW,"10,122.00",0.025,253.05,
40841788,07-09-2025,SALE,,d1,СУ,Чартер,OW,"10,122.00",0.025,253.05,
40842183,07-09-2025,SALE,,d1,СУ,Чартер,OW,"10,122.00",0.025,253.05,
40847131,08-09-2025,SALE,,d1,СУ,Чартер,OW,"10,122.00",0.025,253.05,
40847131,08-09-2025,SALE,,d1,СУ,Чартер,OW,"10,122.00",0.025,253.05,
40847131,08-09-2025,SALE,,d1,СУ,Чартер,OW,"10,122.00",0.025,253.05,
40852602,09-09-2025,SALE,,d1,СУ,Чартер,OW,"10,237.00",0.025,255.93,
40852602,09-09-2025,SALE,,d1,СУ,Чартер,OW,"10,237.00",0.025,255.93,
40856752,10-09-2025,SALE,,d1,ТК,Чартер,OW,"11,640.00",0.045,523.80,
40856752,10-09-2025,SALE,,d1,ТК,Чартер,OW,"11,640.00",0.045,523.80,
40856752,10-09-2025,SALE,,d1,ТК,Чартер,OW,"11,640.00",0.045,523.80,
40861626,11-09-2025,SALE,,d1,СУ,Чартер,OW,"19,806.00",0.025,495.15,
40819683,02-09-2025,SALE,,d1,УР,Чартер,OW,"14,970.00",0.04,598.80,
40819683,02-09-2025,SALE,,d1,УР,Чартер,OW,"14,970.00",0.04,598.80,
40827774,04-09-2025,SALE,,d1,КЛ,Чартер,OW,"14,265.01",0.04,570.60,
40846968,08-09-2025,SALE,,d1,ТК,Чартер,OW,"11,606.00",0.045,522.27,
40871316,13-09-2025,SALE,,d1,ТК,Чартер,OW,"11,600.00",0.045,522.00,
40873025,14-09-2025,SALE,,d1,ТК,Чартер,OW,"11,600.00",0.045,522.00,
40873025,14-09-2025,SALE,,d1,ТК,Чартер,OW,"11,600.00",0.045,522.00,
40873025,14-09-2025,SALE,,d1,ТК,Чартер,OW,"11,600.00",0.045,522.00,
40878442,15-09-2025,SALE,,d1,DV,Регулярка,OW,"26,194.00",0.025,654.85,
40851771,09-09-2025,SALE,,d1,J2,Регулярка,RT,"81,878.00",0.025,"2,046.95",
40857994,10-09-2025,SALE,,d1,SA,Регулярка,OW,"13,528.00",0.045,608.76,
40852321,09-09-2025,SALE,,d1,ТК,Регулярка,OW,"13,447.00",0.045,605.12,
40824239,03-09-2025,SALE,,d1,ET,Регулярка,RT,"75,149.00",0.045,"3,381.71",
40824239,03-09-2025,SALE,,d1,ET,Регулярка,RT,"75,149.00",0.045,"3,381.71",
40835244,05-09-2025,SALE,,d1,СУ,Чартер,OW,"10,047.00",0.025,251.18,
40835244,05-09-2025,SALE,,d1,СУ,Чартер,OW,"10,047.00",0.025,251.18,
40835404,05-09-2025,SALE,,d1,СУ,Чартер,OW,"10,047.00",0.025,251.18,
40835404,05-09-2025,SALE,,d1,СУ,Чартер,OW,"10,047.00",0.025,251.18,
40856856,10-09-2025,SALE,,d1,ET,Регулярка,RT,"76,316.00",0.045,"3,434.22",
40863597,11-09-2025,SALE,,d1,УР,Чартер,OW,"14,399.70",0.04,575.99,
40853052,09-09-2025,SALE,,d1,PC,Регулярка,OW,"10,301.00",0.045,463.55,
40848881,09-09-2025,SALE,,d1,ТК,Чартер,OW,"11,527.00",0.045,518.72,
40848881,09-09-2025,SALE,,d1,ТК,Чартер,OW,"11,527.00",0.045,518.72,
40820262,02-09-2025,SALE,,d1,CZ,Регулярка,RT,"31,778.00",0.045,"1,430.01",
40817352,01-09-2025,SALE,,d1,СУ,Чартер,OW,"10,002.00",0.025,250.05,
40822436,02-09-2025,SALE,,d1,СУ,Чартер,OW,"10,002.00",0.025,250.05,
40831761,05-09-2025,SALE,,d1,СУ,Чартер,OW,"10,002.00",0.025,250.05,
40834787,05-09-2025,SALE,,d1,СУ,Чартер,OW,"10,002.00",0.025,250.05,
40837757,06-09-2025,SALE,,d1,СУ,Чартер,OW,"10,122.00",0.025,253.05,
40840107,07-09-2025,SALE,,d1,СУ,Чартер,OW,"10,002.00",0.025,250.05,
40841020,07-09-2025,SALE,,d1,СУ,Чартер,OW,"10,122.00",0.025,253.05,
40872719,14-09-2025,SALE,,d1,VZ,Регулярка,RT,"13,149.00",0.045,591.71,
40875513,15-09-2025,SALE,,d1,СУ,Чартер,OW,"10,002.00",0.025,250.05,
40875527,15-09-2025,SALE,,d1,СУ,Чартер,OW,"10,002.00",0.025,250.05,
40861015,11-09-2025,SALE,,d1,PC,Регулярка,OW,"15,650.00",0.045,704.25,
40861015,11-09-2025,SALE,,d1,PC,Регулярка,OW,"15,650.00",0.045,704.25,
